product_id,product_name,purchased_date,product_category,customer_id,customer_email
LBYR-88614049,Monitor Sony S10,2016-04-20,Health & Sports,461-49-3819,
OGTF-99821303,Computer LG d95,2016-07-28,Electronics,538-01-1282,
ATDC-53475291,Cell Phone Samsung S10,2013-07-30,Electronics,,samanthamoreno@example.org
PNEJ-98187926,GPS Sony S10,2021-03-12,Health & Sports,,caintrevor@example.com
MCOP-13679283,Smartwatch Apple S10,2018-12-25,Health & Sports,395-40-5531,
UOUF-30218889,Smartwatch Motorola X10,2018-03-18,Home Appliances,,enelson@example.com
RUWQ-89719967,GPS Samsung S10,2021-08-13,Electronics,748-83-1783,
NUEX-31504113,Smartwatch BenQ X4T,2017-05-25,Home Appliances,,xwong@example.com
MUJF-72112955,Smartwatch BenQ S10,2019-05-17,Health & Sports,682-32-2499,
GVMO-83053975,TV BenQ 456ty,2014-05-09,Home Appliances,,william51@example.org
SWJP-78204433,TV Sony X10,2022-02-09,Health & Sports,052-54-2515,
TYYI-86485860,Cell Phone Motorola SmartX,2020-02-21,Electronics,199-80-2403,
OWEX-08425522,Tablet Apple X10,2020-09-27,Electronics,873-10-6171,
PLKK-13281535,Tablet Samsung 456ty,2021-07-09,Electronics,,ashley09@example.net
VBNA-65418210,Smartwatch Apple d95,2017-04-12,Electronics,,alexanderrodriguez@example.net
SXOK-72979940,Headphones Sony X4T,2012-11-23,Electronics,,jared59@example.org
XGQE-80671228,TV Samsung S10,2015-12-28,Health & Sports,,daniel39@example.com
KEIK-99691663,TV Samsung S10,2017-09-05,Health & Sports,555-94-4035,
HTOS-81842881,Cell Phone Samsung 456ty,2019-05-19,Home Appliances,879-62-5554,
AOGE-15521568,GPS Motorola S10,2015-10-04,Home Appliances,139-28-4166,
XPNX-16053366,Monitor Samsung X4T,2015-05-29,Health & Sports,792-77-2155,
XRXO-55373008,Monitor BenQ X10,2016-04-22,Electronics,558-56-6826,
KQMQ-88450555,Headphones LG 456ty,2021-06-01,Home Appliances,,elijah20@example.org
PCMB-90185353,TV Motorola SmartX,2020-07-11,Health & Sports,,jacob52@example.net
YBUD-51111295,Tablet Apple 456ty,2016-04-11,Health & Sports,237-20-5605,
AZFE-87268258,Cell Phone Samsung X10,2017-11-26,Electronics,214-04-7587,
YKTA-15915975,Cell Phone Apple X10,2019-09-01,Electronics,,barbara85@example.com
XMLX-14491439,TV BenQ d95,2013-09-29,Home Appliances,,robert19@example.org
UCYN-61354889,Cell Phone Sony 456ty,2013-10-19,Health & Sports,694-08-1176,
RBVK-66317249,GPS Sony SmartX,2019-09-25,Health & Sports,403-28-6450,
VKPR-89547428,Tablet Motorola d95,2017-10-22,Electronics,,linda88@example.net
WIVB-98428437,TV Sony 456ty,2014-11-29,Electronics,178-74-5110,
BCBQ-66278467,TV Sony S10,2016-07-20,Electronics,,jonathanthomas@example.org
TOBG-37937379,TV Samsung X10,2018-04-04,Health & Sports,,rhernandez@example.com
REPG-76763501,Computer Motorola S10,2015-12-29,Electronics,,zhernandez@example.net
OJVK-11518178,Tablet Samsung X4T,2015-10-22,Electronics,724-36-8778,
GQEI-68525474,Headphones Motorola S10,2016-01-12,Home Appliances,146-32-1202,
RQKG-22544312,Tablet BenQ X4T,2015-01-13,Electronics,309-38-9242,
LWMU-32712341,Computer Apple d95,2015-09-14,Electronics,,sharon60@example.net
XQXO-85296246,Cell Phone Motorola X10,2014-03-11,Home Appliances,859-29-6056,
TXGW-08684561,Tablet LG SmartX,2013-07-29,Home Appliances,,carolyn96@example.net
FWLO-13226460,Tablet Motorola SmartX,2012-07-23,Health & Sports,,lisa48@example.org
INIZ-80489617,TV Apple 456ty,2012-07-07,Health & Sports,,ericmatthews@example.com
MVON-05711226,Computer BenQ d95,2018-01-20,Health & Sports,745-48-3688,
JIYZ-39706337,Computer Samsung X10,2021-02-23,Health & Sports,,ewhite@example.com
APGA-53723890,TV Sony X4T,2016-01-29,Health & Sports,059-77-6625,
ZKGD-56481413,Tablet Sony S10,2016-07-12,Electronics,,saragriffith@example.com
DUCV-50041566,Computer Samsung X4T,2019-11-18,Health & Sports,239-26-3459,
FIDD-18208291,Computer Motorola SmartX,2015-11-08,Health & Sports,337-31-9705,
AXWP-61065191,Smartwatch BenQ X4T,2013-11-11,Health & Sports,,shannon83@example.org
KCGV-64299927,Computer Motorola SmartX,2013-08-22,Home Appliances,393-54-8446,
JNVS-32654691,GPS Motorola 456ty,2013-02-22,Health & Sports,235-10-3123,
ZMGF-38335213,TV BenQ X4T,2013-01-24,Home Appliances,,schultzlisa@example.com
EIVL-84780294,Headphones Samsung SmartX,2016-11-28,Electronics,,turnerjeffrey@example.com
AADT-94935571,TV LG d95,2017-10-02,Home Appliances,,twallace@example.com
QEVW-62696502,Tablet BenQ SmartX,2012-08-23,Health & Sports,196-38-6798,
PEUU-00623936,Computer LG d95,2018-08-22,Home Appliances,230-59-7141,
GUNB-38756930,Cell Phone Motorola X10,2017-10-22,Electronics,,alexis05@example.org
ZMOM-65662961,Monitor LG d95,2020-01-22,Health & Sports,472-27-5072,
GEUU-81175410,Monitor Sony SmartX,2012-08-25,Health & Sports,,allen17@example.com
LCYA-38336229,Computer Motorola SmartX,2013-03-08,Home Appliances,,deborahcastaneda@example.org
SZZZ-13172664,Computer Samsung d95,2016-11-15,Health & Sports,,robinsonjohn@example.com
FFIH-38209147,Cell Phone Motorola SmartX,2012-10-13,Home Appliances,,larrywilliams@example.net
QYNV-93437907,Cell Phone LG X10,2014-10-06,Electronics,,amysmith@example.net
SZKD-12321743,Tablet Samsung SmartX,2022-05-07,Electronics,,markwalters@example.org
GYFE-47579048,Monitor Samsung X10,2014-09-02,Home Appliances,798-31-3997,
UZZM-94457232,TV Motorola X10,2016-08-31,Health & Sports,,teresaingram@example.org
CEJJ-44189468,Smartwatch BenQ d95,2015-01-18,Home Appliances,582-99-9946,
AGXH-94978219,Monitor Apple S10,2014-06-09,Health & Sports,022-04-8292,
AILO-40511628,Smartwatch Motorola S10,2020-02-22,Health & Sports,,jason02@example.com
MTTM-64269284,TV Apple SmartX,2012-08-04,Home Appliances,660-24-2019,
UAIA-21235044,Tablet Sony d95,2021-04-17,Electronics,423-84-6464,
MCLL-32775618,Cell Phone Sony 456ty,2018-01-15,Home Appliances,024-33-7302,
KZWX-37991163,Smartwatch Sony d95,2015-06-07,Health & Sports,362-46-3420,
CLPW-47258943,Cell Phone LG 456ty,2019-12-09,Home Appliances,836-51-4559,
EWFN-25651919,TV Apple S10,2018-11-29,Home Appliances,344-76-6687,
GRKB-98009768,Smartwatch Samsung X4T,2019-06-29,Home Appliances,,elizabeth10@example.org
XFKZ-39107700,Tablet Samsung S10,2013-03-13,Home Appliances,,theresa90@example.com
JRXP-77849806,Tablet LG SmartX,2019-05-16,Health & Sports,,davidparrish@example.org
VSDE-66047834,Computer Apple S10,2018-11-13,Home Appliances,619-52-5628,
ZOXU-60481814,Smartwatch Motorola S10,2016-01-13,Health & Sports,799-46-4360,
CVCU-70285914,Smartwatch Motorola S10,2015-03-03,Health & Sports,661-01-3605,
FHEO-69149024,GPS Motorola d95,2018-01-31,Electronics,249-39-9729,
KIHT-75730206,Tablet BenQ X4T,2013-12-14,Home Appliances,848-27-7889,
XPLX-42261391,Monitor Samsung S10,2017-02-10,Health & Sports,682-56-1467,
TKDJ-80133817,Monitor LG d95,2016-12-06,Health & Sports,188-43-3269,
CRQQ-53913251,Headphones Samsung X4T,2014-03-17,Electronics,,cyoung@example.com
QVYY-35352997,Smartwatch Apple S10,2017-07-28,Electronics,085-56-5392,
LZCE-55458145,Headphones Samsung d95,2017-05-08,Health & Sports,793-59-1402,
NGIF-36394154,Computer BenQ S10,2019-06-13,Electronics,684-96-4234,
ZRFL-07147804,Smartwatch LG X4T,2016-02-27,Health & Sports,663-46-2046,
RUEP-50032456,Computer LG X4T,2019-04-26,Health & Sports,,qallen@example.org
IYFT-20481902,Computer Samsung d95,2018-01-10,Health & Sports,308-10-6949,
MMLG-41980857,Cell Phone Apple S10,2019-07-04,Home Appliances,671-77-3595,
RRKX-20571808,Cell Phone Sony d95,2016-09-03,Electronics,245-91-0089,
FQLG-97716300,TV Samsung X4T,2016-03-10,Electronics,,austinmorris@example.org
RYMT-20024572,Headphones BenQ d95,2017-03-20,Home Appliances,,halljames@example.net
PECC-79447409,Monitor Sony SmartX,2022-05-06,Home Appliances,635-28-7623,
QQSP-86342486,TV LG X4T,2014-09-21,Home Appliances,,anthony42@example.org
TSHI-15323950,Monitor Sony 456ty,2017-12-12,Electronics,,mcaldwell@example.net
NZIP-74868352,GPS Samsung X10,2014-04-17,Home Appliances,,ashleystephanie@example.com
HOCD-74168214,Tablet LG SmartX,2019-12-03,Health & Sports,405-55-7051,
BKAE-15526206,GPS Motorola SmartX,2021-02-22,Home Appliances,,ericnelson@example.org
NHOC-35905264,Monitor Samsung S10,2013-03-10,Electronics,,vrowe@example.com
LMMH-76392541,Tablet Samsung SmartX,2019-01-31,Home Appliances,823-01-9911,
KLYX-34567946,Monitor Samsung X4T,2015-12-06,Health & Sports,792-52-7987,
IPCW-55417812,Computer LG X10,2014-11-26,Home Appliances,701-99-5235,
ZPEW-31300527,TV Apple 456ty,2020-11-03,Health & Sports,160-07-4760,
UAXV-38456368,GPS Motorola SmartX,2016-05-25,Home Appliances,,gcarter@example.net
JVON-41173867,GPS LG X10,2021-04-19,Home Appliances,144-28-8766,
IACW-47669299,Cell Phone Sony S10,2016-12-24,Electronics,119-61-4153,
XNOY-62245915,Headphones LG X4T,2015-05-28,Electronics,,brendahampton@example.com
NITF-77920917,Monitor LG d95,2014-03-19,Health & Sports,,lynnnelson@example.com
FQPW-22053505,GPS Sony X4T,2020-08-27,Electronics,853-37-2546,
LCSZ-58629530,Tablet Samsung X4T,2013-03-24,Health & Sports,857-47-2262,
TCDL-81283913,TV LG d95,2019-02-28,Home Appliances,,currymatthew@example.org
JIDW-89717090,Monitor LG d95,2020-05-13,Health & Sports,183-73-7909,
JDGJ-81049765,TV Samsung d95,2018-04-29,Home Appliances,,reillymatthew@example.net
ZNWC-95579723,Headphones Apple S10,2021-07-02,Electronics,867-28-6756,
AKUO-98245156,Smartwatch Apple d95,2018-05-11,Home Appliances,714-21-1454,
CZBQ-52691424,GPS BenQ d95,2012-09-17,Electronics,268-99-1374,
SWDC-72343108,Computer LG SmartX,2013-06-17,Health & Sports,061-94-0377,
HWSA-45303772,Headphones LG SmartX,2012-08-19,Electronics,429-74-4491,
ZKII-69834313,Computer LG 456ty,2016-12-31,Health & Sports,293-07-8094,
BXKK-20499646,TV LG S10,2022-01-22,Home Appliances,,melissa53@example.com
ANNM-92587184,Headphones LG S10,2013-07-10,Health & Sports,485-33-1147,
TVMO-50345442,Cell Phone Samsung X10,2021-07-29,Electronics,242-75-1276,
NMWF-47107550,Monitor LG 456ty,2019-07-07,Health & Sports,,alexandermartinez@example.com
UXTH-22616877,Computer Motorola X10,2016-02-29,Health & Sports,298-07-6806,
ZLRV-53888385,Computer Samsung X10,2015-07-20,Health & Sports,226-87-7731,
WRBI-72444787,GPS BenQ 456ty,2017-09-03,Health & Sports,,kathleenhenry@example.org
CRML-39590544,Computer BenQ SmartX,2019-06-10,Health & Sports,,erika09@example.org
NMLR-60746914,TV Samsung S10,2016-08-09,Health & Sports,237-91-3026,
IKDK-63144724,Smartwatch Sony S10,2017-11-30,Health & Sports,161-17-3056,
XBBH-40457825,GPS Sony S10,2017-02-18,Health & Sports,474-53-1131,
GOED-49193442,Cell Phone BenQ S10,2017-07-17,Electronics,744-84-5383,
KJWD-42913126,Headphones BenQ SmartX,2022-01-23,Health & Sports,,brittany88@example.net
ILIK-44818421,Headphones Sony S10,2014-07-23,Electronics,744-69-2178,
YISZ-63391078,Cell Phone BenQ X4T,2021-08-29,Health & Sports,526-92-4771,
UIIA-96464205,Cell Phone BenQ 456ty,2015-07-10,Home Appliances,,bthornton@example.org
AZEZ-03016508,Cell Phone Motorola 456ty,2014-10-14,Health & Sports,268-76-6422,
LLWS-37891089,Smartwatch Motorola S10,2020-10-06,Electronics,,karen16@example.net
OQXU-39286208,GPS Motorola X10,2020-08-03,Home Appliances,,cobbvirginia@example.net
MOYR-00157682,Cell Phone Motorola SmartX,2018-05-13,Health & Sports,785-42-1463,
TPTV-67403508,Computer LG 456ty,2018-07-27,Health & Sports,082-54-9321,
BWSE-35366410,GPS Motorola SmartX,2018-05-11,Health & Sports,570-08-2596,
HBTB-52084665,Tablet Apple X10,2013-01-27,Electronics,,lisa27@example.net
CKHL-09649487,Headphones Samsung 456ty,2015-07-26,Health & Sports,,pittsmonica@example.org
KRXO-82234333,Cell Phone BenQ X10,2018-02-19,Electronics,,misty90@example.org
IMBN-74297910,Smartwatch Sony d95,2019-12-03,Home Appliances,,eric22@example.org
JVZL-79541357,Monitor Motorola 456ty,2013-04-04,Home Appliances,857-08-0020,
LLVP-07857219,Computer Apple 456ty,2017-09-05,Health & Sports,,sandra28@example.com
KUCB-82095641,Smartwatch Apple 456ty,2017-12-27,Home Appliances,,mdavis@example.net
BRLK-09014001,Smartwatch BenQ X10,2014-09-18,Home Appliances,,timothycastro@example.net
ZUBM-78151056,TV BenQ 456ty,2016-01-21,Electronics,,fostermartin@example.com
XTGO-10993038,GPS Sony X10,2015-06-07,Health & Sports,080-57-2070,
SJYT-85038084,Smartwatch Apple d95,2020-02-06,Electronics,774-80-9485,
PZDL-14503889,GPS Samsung SmartX,2017-12-22,Health & Sports,,davisrobin@example.org
LFFL-30399805,Computer Motorola SmartX,2018-07-13,Home Appliances,,evelynreed@example.com
ECWF-91851833,Headphones Samsung d95,2013-11-09,Health & Sports,,mcoffey@example.net
STBG-11488220,Headphones Apple X10,2014-03-21,Health & Sports,,rachel85@example.org
PJQJ-84561616,GPS Samsung S10,2020-11-21,Health & Sports,,johnadams@example.com
WFAU-53819153,Tablet BenQ S10,2022-01-10,Electronics,280-13-8595,
NJJN-14706136,Computer Samsung 456ty,2013-03-02,Home Appliances,,suzanne93@example.org
XISS-33176826,Computer Sony X4T,2022-05-15,Health & Sports,,jessica06@example.net
VXRC-67099758,Computer Sony 456ty,2015-06-17,Home Appliances,148-43-4354,
JUBJ-96086219,Smartwatch Sony SmartX,2012-07-16,Health & Sports,,simmonsconnie@example.net
HJIM-62604492,Headphones Sony d95,2020-04-11,Home Appliances,,jamespatricia@example.net
RXIE-50998015,TV Sony 456ty,2017-07-07,Health & Sports,124-77-9177,
NVEK-74463871,TV LG 456ty,2021-11-19,Home Appliances,141-46-0397,
KSXZ-03201931,Headphones LG 456ty,2019-11-02,Electronics,797-34-1744,
NYMS-00965269,Headphones BenQ X4T,2015-03-20,Home Appliances,509-43-5367,
OQQZ-72092118,Monitor BenQ X10,2016-05-24,Health & Sports,,sandovalmarcus@example.org
IDIU-70109713,Computer Apple X10,2014-06-28,Home Appliances,,donaldgreen@example.com
PKPQ-77159764,Monitor Samsung d95,2016-07-17,Home Appliances,,justinbarker@example.net
PZGX-92794702,TV Sony 456ty,2013-12-18,Health & Sports,826-20-3889,
URWS-04223519,Cell Phone LG d95,2022-02-26,Electronics,,zgreen@example.com
ISSH-06364410,TV LG X4T,2021-07-28,Health & Sports,,ywallace@example.com
EGDU-34340142,GPS Samsung d95,2014-02-12,Home Appliances,,xalvarado@example.net
BPGE-81996252,Computer BenQ X4T,2020-12-25,Health & Sports,,sonya77@example.com
GULM-27371105,Computer Motorola d95,2013-03-19,Home Appliances,,lopezpatricia@example.org
WLUN-17345100,GPS Samsung X4T,2014-05-31,Electronics,502-61-7550,
OPVV-90877018,TV Motorola X10,2016-05-26,Health & Sports,457-59-1390,
HQYX-04011600,Computer Motorola S10,2013-01-15,Health & Sports,628-41-3815,
NUIC-79766061,Tablet Samsung SmartX,2015-06-27,Home Appliances,372-19-4170,
TGXH-86399392,Smartwatch Motorola 456ty,2012-12-01,Home Appliances,,ntaylor@example.org
LQMV-91089321,Monitor Motorola SmartX,2012-12-27,Electronics,075-17-2190,
LIVT-01013113,GPS Sony X4T,2014-09-05,Electronics,734-57-4139,
SUIL-34922410,GPS Sony X4T,2012-07-27,Home Appliances,,kelly30@example.net
BWZW-15370273,Smartwatch Sony d95,2021-01-04,Home Appliances,267-49-9805,
USSQ-37961867,Tablet LG 456ty,2014-02-18,Electronics,,carolyn55@example.net
FXLD-57403163,Smartwatch Sony d95,2017-07-08,Home Appliances,,rogerdavis@example.net
RLDL-25579108,GPS LG S10,2015-08-23,Home Appliances,,albertcarr@example.com
NDAS-25385626,Smartwatch Motorola d95,2016-04-01,Health & Sports,,belldanielle@example.com
KNRG-71342796,Tablet Apple X4T,2017-02-23,Health & Sports,,phillip03@example.com
PHFX-79832363,GPS Sony X10,2021-02-02,Electronics,536-25-3042,
RZES-97360119,GPS BenQ X4T,2016-08-29,Health & Sports,,mariopatel@example.com
NDVV-68121984,Smartwatch Apple SmartX,2017-05-31,Health & Sports,706-66-3936,
XPFT-43439812,Smartwatch LG S10,2018-05-13,Electronics,315-09-0362,
DYAW-55009244,Cell Phone Motorola X4T,2019-11-01,Health & Sports,734-37-8537,
PTUQ-30498085,Computer BenQ X10,2014-03-05,Health & Sports,119-49-9717,
OPLC-81801762,GPS Samsung S10,2018-10-29,Health & Sports,297-49-5348,
LIUG-18668417,Tablet Samsung d95,2020-11-02,Health & Sports,456-49-7795,
UZNN-53699570,TV Apple d95,2016-06-19,Electronics,411-80-9763,
UUDE-83432128,Computer BenQ X4T,2014-06-24,Electronics,,samantha17@example.com
WZTR-26731362,Tablet Samsung X10,2017-06-11,Health & Sports,,christopher84@example.org
KBGB-51190997,Monitor BenQ SmartX,2014-11-17,Home Appliances,,cookedward@example.org
XDWA-82093145,Headphones BenQ d95,2018-10-25,Electronics,760-32-9282,
ZNMQ-01075824,Cell Phone Motorola S10,2016-05-22,Electronics,078-86-9180,
FFLS-63830706,Tablet LG 456ty,2020-07-20,Health & Sports,,vconway@example.com
KJJX-78061349,Cell Phone Samsung d95,2020-01-20,Home Appliances,,joycemichael@example.org
FCKJ-98623422,Computer Apple S10,2012-08-22,Electronics,841-77-3266,
CQQE-93709484,Headphones BenQ SmartX,2020-09-18,Health & Sports,,huffjonathan@example.net
DNYF-51346325,Computer Motorola S10,2022-02-03,Home Appliances,,hbonilla@example.com
DUKB-91013835,Computer Motorola SmartX,2019-09-02,Home Appliances,574-19-3032,
NTNW-82214071,Monitor Sony 456ty,2020-06-18,Home Appliances,,dmartinez@example.net
KYSM-40713177,Monitor BenQ SmartX,2018-08-17,Electronics,227-16-7824,
LJHM-93109614,Tablet BenQ 456ty,2013-01-09,Electronics,,evansmichelle@example.com
WBZL-63528778,Tablet Sony X10,2016-03-18,Electronics,706-18-7107,
SVKG-50421555,Headphones Samsung SmartX,2020-10-28,Electronics,307-04-7604,
SVGE-96080548,Monitor Samsung S10,2020-03-14,Electronics,,richardsonkyle@example.net
QOCK-63711744,Monitor LG 456ty,2018-11-19,Electronics,,michaelfrancis@example.net
NCMP-55389585,Monitor LG X4T,2012-09-07,Health & Sports,347-43-7509,
FFDG-08072759,Computer Samsung SmartX,2019-01-24,Electronics,,ivance@example.net
ERDU-87622803,Monitor BenQ SmartX,2015-02-10,Home Appliances,,pgarcia@example.com
PZHL-58121340,Headphones BenQ SmartX,2016-09-12,Health & Sports,,josephperry@example.com
MVRC-58761761,Headphones BenQ 456ty,2016-02-16,Home Appliances,,uruiz@example.com
GLQD-66572862,Computer LG d95,2019-12-21,Electronics,,marymiller@example.net
PMVT-94111922,Computer Apple X10,2014-09-27,Electronics,318-15-3553,
ZYRQ-03574245,Tablet Apple X10,2012-09-08,Electronics,661-61-0789,
VNIT-34484141,Computer Sony X10,2021-04-21,Electronics,806-88-6281,
YFWZ-05723745,GPS Apple X10,2019-10-29,Electronics,134-01-3816,
